time,torque,rate,position,acceleration
1284857.0,0.0,-29.69,-26654.9,-0.07
1284874.0,1.0,-66.69,-26655.79,-0.35
1284892.0,1.0,-61.07,-26656.85,-0.46
1284909.0,1.0,-186.73,-26658.34,-0.86
1284929.0,1.0,-109.42,-26660.78,-0.99
1284948.0,1.0,-269.89,-26664.21,-1.64
1284968.0,1.0,-272.19,-26668.25,-1.95
1284985.0,1.0,-405.07,-26672.81,-2.55
1285005.0,1.0,-314.25,-26678.28,-2.66
1285023.0,1.0,-469.55,-26684.63,37.08
1285043.0,1.0,-384.1,-26692.14,-3.51
1285063.0,1.0,-576.56,-26700.35,36.17
1285083.0,1.0,-524.22,-26709.69,-4.51
1285102.0,1.0,-378.92,-26719.43,-44.94
1285120.0,1.0,-442.28,-26729.25,-5.03
1285139.0,1.0,-640.48,-26740.47,-5.74
1285166.0,1.0,-548.44,-26758.03,-46.43
1285207.0,1.0,-699.8,-26787.54,-7.1
1285227.0,1.0,-772.52,-26803.29,-7.61
1285245.0,1.0,-897.05,-26817.81,32.24
1285262.0,1.0,-895.69,-26832.94,-8.51
1285279.0,1.0,-861.93,-26848.21,-8.75
1285295.0,1.0,-925.98,-26864.04,-9.18
1285312.0,1.0,-1030.51,-26880.56,-9.66
1285330.0,1.0,-1125.85,-26898.26,30.22
1285347.0,1.0,-1038.38,-26916.69,-10.31
1285364.0,1.0,-1243.2,-26934.95,29.37
1285380.0,1.0,-1106.16,-26953.62,-11.02
1285398.0,1.0,-1208.48,-26974.14,28.9
1285415.0,1.0,-1278.75,-26994.92,28.45
1285435.0,1.0,-1298.84,-27019.06,-12.38
1285454.0,1.0,-1338.35,-27043.86,-12.75
1285474.0,1.0,-1305.44,-27070.12,-13.05
1285494.0,1.0,-1411.67,-27097.74,26.82
1285514.0,1.0,-1507.97,-27126.43,26.25
1285534.0,1.0,-1505.25,-27155.54,25.9
1285554.0,1.0,-1409.43,-27185.03,-14.64
1285574.0,1.0,-1473.4,-27215.85,-15.12
1285594.0,1.0,-1583.15,-27247.5,-15.74
1285612.0,1.0,-1594.86,-27276.54,-16.1
1285631.0,1.0,-1502.36,-27309.04,-16.25
1285651.0,1.0,-1805.35,-27342.8,23.16
1285670.0,1.0,-1734.89,-27377.25,-17.47
1285690.0,1.0,-1715.86,-27412.36,-17.76
1285709.0,1.0,-1777.72,-27449.24,-58.7
1285729.0,1.0,-1913.69,-27486.66,-18.9
1285749.0,1.0,-2067.24,-27525.1,20.86
